,Date,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,1537656821,Wattegama,32,LK,92,7.35,80.68,66.94,3.04
1,1537653600,Aklavik,75,CA,86,68.22,-135.01,42.8,8.05
2,1537656821,Vaini,76,IN,98,15.34,74.49,68.83,2.15
3,1537653600,Ushuaia,75,AR,64,-54.81,-68.31,35.6,10.29
4,1537656822,Sisimiut,12,GL,100,66.94,-53.67,21.13,3.71
5,1537653600,Puerto Ayora,0,EC,54,-0.74,-90.35,78.8,13.87
6,1537656822,Waitati,36,NZ,75,-45.75,170.57,58.84,3.27
7,1537656823,Port Lincoln,44,AU,94,-34.72,135.86,58.21,13.33
8,1537656823,Touros,0,BR,86,-5.2,-35.46,76.03,11.99
9,1537656823,Iwanai,80,JP,100,42.97,140.51,64.96,8.08
10,1537653600,Vila Velha,0,BR,78,-3.71,-38.6,80.6,10.29
11,1537656824,Butaritari,0,KI,100,3.07,172.79,84.94,7.52
12,1537656824,Marawi,56,PH,98,8.0,124.29,72.34,2.59
13,1537656825,Jamestown,48,AU,42,-33.21,138.6,61.9,4.5
14,1537656825,Rikitea,88,PF,100,-23.12,-134.97,70.99,7.4
15,1537656826,Changde,92,CN,100,29.04,111.68,65.41,5.61
16,1537653600,Iqaluit,90,CA,74,63.75,-68.52,35.6,8.05
17,1537653600,Cape Town,0,ZA,76,-33.93,18.42,57.2,12.75
18,1537653600,Adrar,40,DZ,29,27.87,-0.29,87.8,12.75
19,1537656726,Pevek,80,RU,100,69.7,170.27,43.99,2.93
20,1537656827,Erdenet,8,MN,69,49.03,104.04,23.65,2.59
21,1537653360,Port Elizabeth,40,US,59,39.31,-74.98,71.96,10.29
22,1537656791,Hermanus,0,ZA,100,-34.42,19.24,35.98,3.04
23,1537656828,Sitka,0,US,41,37.17,-99.65,71.44,6.4
24,1537656829,San Patricio,12,PY,79,-26.98,-56.83,77.2,4.94
25,1537652460,Laguna,75,MX,50,27.52,-110.01,95.0,5.82
26,1537656829,Plettenberg Bay,0,ZA,100,-34.05,23.37,57.49,0.36
27,1537653600,Bathsheba,20,BB,74,13.22,-59.52,82.4,12.75
